Date,Open,High,Low,Close,Adj Close,Volume
1/1/2000,28.855125,37.487,28.361876,35.822281,28.069977,247071300
2/1/2000,35.822281,38.473499,30.581499,33.541,26.282385,144199000
3/1/2000,33.541,41.92625,32.554501,40.693127,31.886724,185072200
4/1/2000,40.693127,43.036064,36.562157,43.036064,33.722626,111136500
5/1/2000,43.036064,43.282688,37.67197,41.61797,32.611423,110547100
6/1/2000,41.61797,41.987907,37.240376,38.288532,30.00251,87971600
7/1/2000,38.165218,38.78178,34.897438,38.041904,29.809248,86321800
8/1/2000,38.473499,42.419498,36.932095,38.427258,30.111216,103292800
9/1/2000,38.427258,40.939751,36.315533,37.733624,29.567688,69093100
10/1/2000,37.980251,41.371346,33.047749,35.329033,27.68347,112361000
11/1/2000,35.329033,37.733624,27.498688,28.546844,22.369022,137910200
12/1/2000,28.731813,31.568001,25.649,28.546844,22.369022,114906500
1/1/2001,28.053595,33.541,27.252062,30.038925,23.702618,136977800
2/1/2001,30.038925,32.534771,29.200399,30.532175,24.091825,105872000
3/1/2001,30.532175,30.581499,25.708191,28.2139,22.262556,137163900
4/1/2001,28.2139,31.568001,26.112656,29.841625,23.54694,106078900
5/1/2001,29.87122,34.3302,29.447025,31.19313,24.613363,118273600
6/1/2001,31.19313,31.972466,26.980776,28.499985,22.488297,102689700
7/1/2001,28.499985,28.628229,25.678595,25.994274,20.511133,118250900
8/1/2001,26.191574,27.60227,24.09033,25.086695,19.794996,115700500
9/1/2001,24.76115,25.698324,15.29075,18.368629,14.494013,310771600
10/1/2001,18.368629,20.213385,17.569565,18.339035,14.470665,185159000
11/1/2001,18.388359,21.614216,17.806326,20.193655,15.934075,204301700
12/1/2001,20.193655,22.590851,19.23675,20.440281,16.128681,167535800
1/1/2002,20.617849,23.281401,19.749729,20.77569,16.569702,165679400
2/1/2002,22.146925,24.2679,20.913799,22.689501,18.096066,161979100
3/1/2002,22.640175,24.6625,22.344225,22.768419,18.159008,141963600
4/1/2002,22.344225,24.830206,21.801649,22.867069,18.23769,158858300
5/1/2002,23.113695,24.642771,22.294901,22.600716,18.025253,116813500
6/1/2002,22.689501,23.04464,18.200926,18.64485,14.870248,178854700
7/1/2002,18.64485,19.73,14.69885,17.490644,13.949704,192059500
8/1/2002,17.204559,17.313074,13.29802,15.46832,12.336795,262813700
9/1/2002,15.36967,16.415359,14.34371,14.93561,11.91193,156122200
10/1/2002,15.044125,17.904976,13.71235,16.47455,13.139316,228562900
11/1/2002,16.523874,19.927299,16.306845,19.552429,15.594084,144297400
12/1/2002,19.63135,19.966761,15.29075,16.089815,12.83247,147782600
1/1/2003,16.5732,18.289709,16.030624,17.26375,13.94293,147869500
2/1/2003,17.421591,17.5597,15.66562,16.829691,13.592364,120868100
3/1/2003,16.86915,18.487009,14.63966,16.79023,13.560494,195078000
4/1/2003,16.79023,19.01972,16.69158,18.408091,14.867148,201007100
5/1/2003,18.44755,19.582026,17.214424,19.384726,15.65592,185501000
6/1/2003,19.63135,21.259075,18.595526,19.483376,15.735592,209444800
7/1/2003,19.49324,21.929895,19.1381,21.624081,17.464514,179227900
8/1/2003,22.077869,23.478701,19.877975,20.223249,16.333141,178923500
9/1/2003,20.450146,21.24921,19.51297,19.897705,16.070219,197218100
10/1/2003,20.144329,22.640175,20.08514,22.33436,18.038166,158180600
11/1/2003,22.541525,23.43924,22.077869,22.778284,18.396694,118906100
12/1/2003,22.778284,23.24194,21.26894,23.015045,18.587917,177670400
1/1/2004,23.172886,24.741421,22.669769,23.676001,19.306023,185082700
2/1/2004,23.478701,28.026464,22.590851,26.171844,21.3412,408997500
3/1/2004,26.4382,26.684826,24.218575,24.652636,20.1024,202173700
4/1/2004,24.76115,26.290224,22.590851,22.719095,18.525738,208252500
5/1/2004,22.867069,23.606945,21.101234,23.153154,18.879681,167273600
6/1/2004,23.478701,25.2544,23.064369,25.145885,20.504606,149131400
7/1/2004,24.99791,25.15575,22.265305,22.778284,18.574001,116479500
8/1/2004,22.788151,22.867069,20.59812,22.146925,18.059172,144088600
9/1/2004,22.15679,23.330725,21.702999,22.245575,18.13962,130669000
10/1/2004,22.25544,24.95845,22.206116,24.87953,20.287413,158000300
11/1/2004,24.790745,27.079426,24.455336,26.51712,21.622746,126133600
12/1/2004,26.605906,27.651594,26.31982,27.4247,22.36281,111567700
1/1/2005,27.434565,28.549311,26.684826,28.243496,23.239105,144730500
2/1/2005,28.361876,29.585135,27.138615,27.562811,22.679024,130209000
3/1/2005,27.592405,28.6085,27.099155,28.342146,23.320276,146518100
4/1/2005,28.401335,28.6085,25.362915,26.0436,21.429001,119468600
5/1/2005,26.211306,27.641729,25.66873,27.069559,22.273172,135337600
6/1/2005,27.138615,27.612135,24.78088,24.840071,20.438723,141307200
7/1/2005,24.87953,26.14225,24.021275,25.293859,20.812099,142031500
8/1/2005,25.293859,26.112656,24.58358,24.849936,20.446838,169209500
9/1/2005,24.751286,24.99791,22.590851,23.804245,19.586428,196731900
